Gender,Age,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
1,2,45.0,1,0,1,1,1,1,0,0,1,0,1,1,1,62.7,0.0,0.0,480.15,3271.65,1
1,2,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,25.1,0.0,0.0,0.0,25.1,1
0,2,50.0,1,1,0,0,0,0,0,0,0,0,0,1,0,25.2,0.0,0.0,1571.5,2877.8,0
0,0,13.0,1,1,1,2,0,1,0,1,0,0,1,0,0,94.1,0.0,0.0,566.28,1781.88,1
0,0,23.0,1,1,1,2,0,0,0,1,0,0,1,0,0,83.75,0.0,0.0,802.93,2652.88,0
0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.35,0.0,0.0,49.72,126.07,1
0,1,1.0,0,0,1,1,1,0,0,0,0,0,1,0,0,30.5,0.0,0.0,0.0,30.5,1
0,1,55.0,1,0,1,2,0,1,1,1,1,1,0,1,0,103.7,0.0,20.0,1927.2,7603.95,0
1,1,54.0,1,0,0,1,0,0,0,0,0,0,1,2,1,20.4,0.0,0.0,1063.8,2154.4,0
1,2,26.0,1,0,0,0,0,0,0,0,0,0,1,1,0,19.6,21.25,0.0,980.2,1430.8,0
0,1,69.0,1,0,0,1,0,0,0,0,0,0,0,2,0,19.7,0.0,0.0,2648.91,4045.81,0
1,0,37.0,1,0,1,2,0,0,0,1,1,1,1,1,1,91.2,0.0,0.0,1591.37,4838.92,0
0,1,49.0,1,0,0,0,0,0,0,0,0,0,0,1,0,20.45,0.0,0.0,2429.42,3330.32,0
1,0,66.0,1,1,1,2,1,1,1,1,1,1,1,1,0,-2.0,0.0,0.0,2888.82,10830.97,0
0,0,67.0,1,0,0,0,0,0,0,0,0,0,0,1,0,20.55,30.53,0.0,1549.04,2861.91,0
1,1,20.0,0,0,1,0,1,1,1,0,0,0,1,2,1,39.4,0.0,0.0,0.0,825.4,0
0,1,43.0,1,1,0,0,0,0,0,0,0,0,1,2,0,25.1,0.0,0.0,1317.52,2387.67,0
0,1,55.0,1,1,1,2,1,0,0,1,0,0,1,0,0,89.8,0.0,0.0,279.4,5239.0,0
0,1,59.0,1,1,1,2,1,0,0,1,0,0,1,0,0,94.75,0.0,0.0,967.01,6564.66,0
0,1,12.0,1,0,0,0,0,0,0,0,0,0,0,2,0,20.3,0.0,0.0,231.36,455.86,0
1,1,27.0,1,1,1,2,0,0,0,0,0,0,1,0,0,75.75,0.0,0.0,682.02,2611.02,0
1,2,2.0,1,0,1,1,1,0,0,0,0,0,1,0,0,49.25,0.0,0.0,87.98,179.08,1
0,0,27.0,1,0,1,1,0,1,1,1,1,1,1,1,1,78.2,0.0,0.0,1320.57,3399.52,0
1,1,25.0,1,1,0,0,0,0,0,0,0,0,1,2,1,25.5,44.42,0.0,592.25,1178.43,0
1,1,25.0,1,0,1,0,1,1,0,0,0,0,1,1,0,61.6,44.9,0.0,161.25,1727.35,0
1,1,29.0,0,0,1,1,1,1,1,0,0,0,1,0,1,45.0,12.26,0.0,0.0,1230.19,0
1,0,72.0,1,1,1,1,0,1,1,1,1,1,1,2,0,85.15,0.0,0.0,2329.92,8646.12,0
0,2,14.0,1,0,1,0,0,0,0,0,0,0,1,1,1,51.45,0.0,0.0,336.56,1064.41,0
0,1,35.0,1,0,1,2,0,1,1,1,1,1,1,1,0,99.25,0.0,0.0,1274.7,4806.7,0
1,1,29.0,1,0,1,2,0,0,1,1,1,1,0,0,0,94.2,0.0,20.0,59.45,2687.05,0
1,0,64.0,1,1,1,1,1,1,1,1,0,0,0,1,0,81.25,0.0,40.0,351.36,5958.91,0
0,1,39.0,1,1,1,2,0,0,1,1,1,1,1,0,1,99.95,0.0,0.0,950.82,4718.22,0
0,2,40.0,1,0,1,2,0,0,0,1,1,0,1,2,0,91.55,0.0,0.0,1765.6,5439.2,0
1,1,40.0,1,1,1,2,0,1,0,1,1,1,1,0,1,104.5,0.0,0.0,1507.6,5544.45,1
0,2,11.0,1,0,1,2,0,0,0,1,1,0,0,0,0,95.0,0.0,120.0,127.49,1367.79,1
0,0,6.0,1,1,1,0,0,0,0,0,0,0,1,0,0,50.35,0.0,0.0,255.96,570.51,0
1,1,30.0,1,1,1,1,1,0,0,0,1,1,1,0,2,64.5,0.0,0.0,79.2,1967.65,0
1,0,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0.0,0.0,557.82,1087.62,0
1,2,70.0,1,1,1,2,0,1,0,1,1,0,1,1,0,104.8,6.11,0.0,2764.3,10067.14,0
0,0,57.0,1,1,1,2,0,1,1,1,1,1,1,1,0,109.4,0.0,0.0,456.57,6709.27,0
1,2,58.0,1,0,1,1,0,1,0,0,0,0,1,1,1,50.3,10.23,0.0,1065.46,3933.78,0
1,0,16.0,1,1,1,1,0,1,0,0,1,1,1,0,0,71.4,0.0,0.0,411.36,1623.46,0
0,1,69.0,1,1,1,2,1,1,1,1,1,1,1,2,0,116.0,0.0,0.0,2657.88,10840.73,0
1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.85,0.0,0.0,31.77,51.62,1
1,1,1.0,1,1,1,2,0,1,0,1,1,1,1,0,0,99.75,0.0,0.0,40.71,140.46,1
1,2,32.0,1,0,1,2,0,0,0,1,1,1,1,1,2,93.95,0.0,0.0,1019.52,3880.97,0
1,1,16.0,1,1,1,2,0,1,0,1,0,0,1,0,0,90.8,0.0,0.0,779.36,2221.56,0
1,2,49.0,1,1,1,0,1,1,1,1,1,1,1,1,0,84.35,0.0,0.0,1937.95,5997.3,1
0,1,71.0,0,0,1,0,0,1,1,1,1,1,1,2,0,58.25,0.0,0.0,0.0,4145.9,0
0,1,33.0,1,1,1,2,0,1,0,1,1,1,1,0,0,107.55,0.0,0.0,1639.77,5285.27,0
0,0,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.95,0.0,0.0,496.0,683.75,0
1,0,21.0,1,1,1,2,0,1,1,1,1,1,0,0,0,111.2,0.0,120.0,761.46,3198.56,1
1,1,37.0,0,0,1,1,1,1,0,0,0,0,1,0,0,40.2,0.0,0.0,0.0,1448.8,1
0,2,26.0,1,0,1,2,1,0,0,1,0,0,1,0,1,85.8,0.0,0.0,877.24,3070.89,0
1,1,50.0,0,0,1,1,1,0,1,0,0,0,1,1,1,35.4,0.0,0.0,0.0,1748.9,0
0,0,7.0,1,1,1,2,0,0,0,0,0,1,1,0,0,73.85,13.03,0.0,200.34,698.56,1
0,2,61.0,1,1,1,1,1,1,1,1,1,1,1,2,2,88.1,0.0,0.0,2878.59,8405.34,0
1,1,15.0,1,0,1,2,0,1,1,1,1,1,1,0,0,101.35,0.0,0.0,688.8,2242.75,1
0,1,26.0,0,0,1,1,1,0,1,0,1,1,1,0,1,45.8,0.0,0.0,0.0,1147.0,0
1,1,72.0,1,0,1,2,0,1,0,1,1,1,1,0,0,94.65,0.0,0.0,2391.84,9139.19,0
1,2,44.0,1,0,0,0,0,0,0,0,0,0,1,1,0,20.5,0.0,0.0,1205.6,2070.65,0
1,1,66.0,1,1,1,2,0,0,0,0,1,1,0,0,1,89.4,36.02,40.0,3219.48,9200.36,0
0,1,2.0,1,0,1,2,1,0,1,0,0,0,1,0,0,86.25,0.0,0.0,73.62,255.27,1
0,2,44.0,1,0,1,1,0,1,1,1,1,1,1,1,0,74.85,17.91,0.0,339.68,3589.82,0
0,1,12.0,1,1,1,2,0,0,0,1,0,0,1,0,0,89.75,0.0,0.0,172.56,1224.96,1
1,2,69.0,1,1,1,2,0,1,1,1,1,0,1,2,0,109.95,0.0,0.0,1270.29,8904.54,0
0,0,1.0,1,1,1,2,0,0,0,0,0,0,1,0,2,80.2,0.0,0.0,1.23,81.43,1
0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,19.85,0.0,0.0,77.25,141.0,1
0,2,27.0,1,1,1,2,0,1,0,0,0,0,1,2,0,86.45,0.0,0.0,80.19,2481.24,0
1,1,26.0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.3,0.0,0.0,346.84,858.09,0
0,2,39.0,1,1,1,2,0,0,1,1,1,1,1,0,0,101.25,0.0,0.0,785.85,4735.0,0
1,1,25.0,1,1,1,2,0,0,0,1,1,1,1,0,0,94.7,0.0,0.0,872.0,3234.1,1
0,1,1.0,1,0,1,2,0,0,0,0,0,0,1,0,2,70.9,0.0,0.0,39.81,110.71,1
1,1,22.0,1,0,1,1,1,0,1,0,0,0,1,0,0,54.2,0.0,0.0,599.28,1751.98,1
0,1,72.0,1,1,1,2,1,1,1,1,1,1,1,2,0,114.9,0.0,0.0,3482.64,11979.34,0
0,1,24.0,1,0,0,0,0,0,0,0,0,0,1,2,0,19.55,0.0,0.0,255.36,725.56,0
0,1,19.0,1,1,1,2,0,0,0,1,0,0,1,0,0,86.85,0.0,0.0,148.96,1713.36,0
1,0,71.0,1,1,0,1,0,0,0,0,0,0,0,2,1,25.35,0.0,0.0,653.2,2500.75,0
1,2,33.0,1,1,1,2,1,1,1,1,1,0,1,1,0,109.9,0.0,0.0,829.95,4524.65,0
1,1,47.0,1,1,1,2,0,0,0,1,0,0,1,0,0,87.2,0.0,0.0,51.23,4068.68,0
1,1,62.0,1,0,1,2,1,1,1,1,1,1,1,2,1,108.15,0.0,0.0,109.12,6934.77,0
1,0,71.0,1,1,1,2,1,1,1,1,1,1,1,1,0,116.3,0.0,0.0,204.48,8514.03,0
1,2,7.0,1,0,1,2,0,0,0,1,1,1,1,2,0,89.0,0.0,0.0,293.79,899.24,0
0,1,27.0,1,0,1,2,1,0,0,0,0,0,1,0,1,74.4,0.0,0.0,1259.82,3232.17,0
0,1,25.0,0,0,1,0,1,0,1,0,0,0,1,2,0,35.05,0.0,0.0,0.0,844.45,0
1,2,30.0,1,0,1,1,1,0,0,1,1,0,1,1,0,74.75,0.0,0.0,1158.3,3269.6,0
0,2,58.0,1,0,1,2,1,0,1,1,1,1,1,1,1,105.5,0.0,0.0,982.52,7188.02,1
1,0,10.0,1,1,1,2,0,0,0,0,1,1,0,0,0,85.25,0.0,100.0,20.2,975.5,1
0,1,8.931031866953195,1,1,1,2,0,0,0,0,0,0,1,0,1,75.2,0.0,0.0,83.43,717.28,0
0,2,6.0,1,1,1,2,0,0,0,0,1,0,1,0,0,84.35,0.0,0.0,172.26,647.16,1
0,1,69.0,1,1,1,2,1,1,0,0,0,0,0,1,0,84.45,0.0,40.0,2685.48,8574.08,0
0,2,66.0,1,1,1,2,1,0,0,1,1,1,1,2,0,102.4,0.0,0.0,689.7,7161.55,0
0,0,70.0,1,1,1,2,1,1,1,1,1,1,1,1,1,115.55,0.0,0.0,714.7,8842.3,1
1,2,25.0,1,1,0,0,0,0,0,0,0,0,1,1,0,25.3,0.0,0.0,139.25,815.6,1
0,1,46.0,1,0,0,0,0,0,0,0,0,0,1,2,1,19.25,0.0,0.0,1119.18,1983.38,0
0,2,54.0,1,1,1,2,1,1,1,1,1,1,1,1,1,114.65,0.0,0.0,615.6,6665.1,0
0,1,15.0,1,0,1,2,1,1,1,1,1,1,1,0,0,105.1,0.0,0.0,335.85,1918.6,1
0,1,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,19.4,0.0,0.0,99.0,297.1,0
0,1,22.0,0,0,1,0,0,0,0,1,1,1,1,0,0,50.35,0.0,0.0,0.0,1098.85,0
0,0,70.0,0,0,1,0,0,1,1,1,1,1,1,2,0,57.8,1.01,0.0,0.0,4038.29,0
1,1,30.0,1,0,1,2,1,1,0,0,0,0,0,0,1,84.3,0.0,130.0,741.9,3310.5,0
1,0,71.0,1,1,1,2,0,0,0,1,1,1,1,1,0,100.55,16.99,0.0,2012.14,9108.9,0
1,1,30.0,1,0,0,0,0,0,0,0,0,0,0,1,1,19.8,0.0,0.0,294.3,870.95,0
1,0,4.0,1,1,1,2,0,1,0,0,0,1,1,0,0,84.8,0.0,0.0,115.08,486.98,1
1,1,2.0,1,0,1,2,0,1,0,0,1,1,1,0,0,85.85,0.0,0.0,28.28,195.58,1
1,0,10.0,1,0,0,0,0,0,0,0,0,0,1,1,0,19.95,0.0,0.0,78.6,298.1,0
1,2,4.0,1,0,1,2,1,0,0,0,0,0,1,1,0,75.35,0.0,0.0,145.6,419.0,0
1,2,52.0,0,0,1,1,1,0,0,1,1,1,1,2,1,48.8,0.0,0.0,0.0,2555.05,0
1,0,5.0,1,1,1,0,0,0,0,0,0,1,1,0,0,47.15,0.0,0.0,110.05,333.2,1
1,0,8.0,1,0,0,0,0,0,0,0,0,0,1,2,1,20.15,0.0,0.0,22.96,188.46,0
1,1,19.0,1,1,1,1,0,1,1,0,0,0,1,0,0,59.55,0.0,0.0,225.15,1369.75,0
1,1,72.0,1,1,1,1,1,1,1,0,0,0,1,2,0,69.65,0.0,0.0,263.52,5171.77,0
1,2,63.0,0,0,1,1,1,0,1,0,0,0,1,1,0,36.1,0.0,0.0,0.0,2298.9,0
1,1,66.0,0,0,1,1,1,1,1,1,0,0,1,2,0,56.6,0.0,0.0,0.0,3789.2,0
1,0,1.0,1,0,1,2,0,0,1,0,0,0,1,0,0,75.9,0.0,0.0,44.56,120.46,1
0,0,60.0,1,1,1,2,0,1,0,0,0,0,1,1,0,79.2,0.0,0.0,917.4,5682.4,0
0,1,48.0,0,0,1,1,1,1,0,0,1,1,1,1,1,45.0,0.0,0.0,0.0,2196.3,0
0,1,1.0,1,0,1,2,0,1,0,1,0,0,1,0,1,85.55,0.0,0.0,33.34,118.89,1
1,1,15.0,1,1,1,2,0,0,0,1,1,1,1,0,0,93.35,0.0,0.0,733.95,2178.6,1
0,2,50.0,1,1,1,2,1,0,1,1,1,1,1,0,0,109.65,0.0,0.0,1728.5,7134.3,0
1,0,72.0,1,1,1,0,1,1,1,1,1,1,1,2,1,89.7,0.0,0.0,2430.0,8769.3,0
0,1,46.0,1,1,1,2,1,0,0,0,0,0,0,0,1,84.25,0.0,100.0,1990.42,5938.02,0
0,1,72.0,1,1,1,1,1,1,1,1,1,1,1,2,0,92.65,0.0,0.0,2160.0,8893.0,0
0,2,67.0,1,0,1,2,1,0,1,1,0,0,1,2,0,92.45,0.0,0.0,172.19,6313.04,0
0,1,48.0,1,1,1,1,0,0,1,1,1,1,1,2,0,79.65,0.0,0.0,429.12,4299.42,0
0,0,72.0,1,0,1,2,1,1,1,1,1,1,1,2,0,109.9,0.0,0.0,3017.52,10641.72,0
1,2,52.0,1,1,1,0,1,1,1,0,1,1,1,1,1,81.4,0.0,0.0,2149.68,6504.13,0
0,1,67.0,1,0,1,0,0,0,0,0,0,0,1,1,1,50.55,0.0,0.0,3142.3,6574.05,0
0,1,28.0,1,0,1,2,0,0,0,0,1,1,1,0,0,81.05,0.0,0.0,471.8,2698.9,1
0,0,32.0,1,1,1,1,0,1,0,0,0,1,1,0,0,62.45,0.0,0.0,1064.96,3110.51,0
0,2,27.0,1,0,1,0,1,0,0,0,0,0,1,0,0,75.2,0.0,0.0,189.54,2118.89,1
1,0,2.0,1,1,1,0,0,0,0,1,0,1,1,0,0,85.65,0.0,0.0,80.86,262.36,1
0,1,9.07279518132542,1,0,1,0,0,1,1,1,1,1,1,0,1,72.9,0.0,0.0,319.41,970.81,1
1,1,50.0,1,1,1,0,1,0,1,1,0,0,1,2,1,70.5,0.0,0.0,2224.5,5711.15,0
0,1,71.0,1,0,0,0,0,0,0,0,0,0,0,2,0,20.1,0.0,0.0,2203.13,3592.73,0
1,2,32.0,1,1,1,2,0,0,0,0,0,0,1,0,0,74.9,0.0,0.0,1514.88,3818.23,1
0,1,16.0,1,0,1,2,1,1,0,1,1,1,1,0,0,100.7,0.0,0.0,436.32,1959.02,0
0,1,67.0,1,1,1,2,0,1,1,1,1,1,1,2,0,105.65,0.0,0.0,1191.93,7909.83,0
1,1,72.0,1,1,1,2,1,1,1,1,1,1,1,2,1,114.3,0.0,0.0,1147.68,9206.23,0
0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.75,0.0,0.0,73.89,132.74,1
1,0,23.0,1,1,0,0,0,0,0,0,0,0,1,1,1,24.35,0.0,0.0,1104.46,1642.96,0
1,2,72.0,1,1,1,1,1,1,1,0,0,0,1,2,0,69.85,25.24,0.0,2042.64,7119.75,0
1,0,7.0,0,0,1,0,1,1,0,1,1,1,1,0,1,-3.0,0.0,0.0,0.0,465.7,0
1,1,8.0,1,0,1,1,0,0,0,1,0,0,1,0,0,54.4,0.0,0.0,12.48,487.58,0
1,1,66.0,0,0,1,0,0,0,1,1,1,1,0,2,0,50.55,0.0,110.0,0.0,3474.55,0
1,0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,21.05,0.0,0.0,171.3,285.15,1
1,1,49.0,1,1,1,2,0,1,0,1,1,1,1,0,0,103.7,0.0,0.0,2172.17,7208.47,1
1,1,63.0,1,0,0,0,0,0,0,0,0,0,1,2,0,19.95,0.0,0.0,2416.68,3651.48,0
0,2,12.0,0,0,1,1,0,0,1,0,0,0,1,0,2,29.3,0.0,0.0,0.0,355.9,0
1,1,27.0,1,0,1,1,1,0,0,0,0,0,1,0,1,54.75,0.0,0.0,977.13,2487.43,0
0,1,35.0,1,0,1,1,1,1,0,0,0,0,1,0,0,60.55,0.0,0.0,1568.35,3550.95,0
0,1,54.0,1,1,1,1,0,1,1,1,1,1,1,0,0,86.2,0.0,0.0,233.82,4757.87,0
1,1,1.0,1,1,1,2,0,0,0,1,1,1,1,0,0,95.45,0.0,0.0,5.59,101.04,1
1,1,5.0,1,0,1,1,0,1,1,1,0,0,1,0,1,63.95,0.0,0.0,69.8,387.9,0
1,2,19.0,1,0,1,1,0,0,1,0,1,1,0,1,0,65.35,0.0,60.0,794.01,2085.86,0
1,1,52.0,0,0,1,1,0,1,1,1,0,0,1,2,1,50.2,27.01,0.0,0.0,2526.99,0
0,2,72.0,0,0,1,1,1,1,1,1,1,1,1,2,0,63.8,0.0,0.0,0.0,4684.3,0
1,1,32.0,1,0,0,1,0,0,0,0,0,0,1,2,0,20.05,9.73,0.0,477.12,1081.84,0
0,1,8.0,1,0,1,2,0,1,0,1,1,1,1,0,0,101.15,0.0,0.0,135.04,977.94,1
1,1,41.0,1,1,1,1,0,1,0,0,1,1,0,1,2,65.0,0.0,140.0,1539.55,4211.35,0
1,1,5.0,1,0,0,1,0,0,0,0,0,0,1,0,1,19.25,0.0,0.0,105.05,191.1,0
0,1,11.0,0,0,1,1,1,0,1,0,0,0,0,1,1,36.05,0.0,100.0,0.0,502.6,0
1,2,5.0,1,0,1,2,0,0,1,1,1,1,1,0,0,96.1,0.0,0.0,155.45,608.85,1
0,2,16.0,1,0,0,0,0,0,0,0,0,0,1,1,1,19.05,0.0,0.0,664.16,990.81,0
1,2,71.0,1,1,1,2,0,0,1,1,1,0,1,1,0,105.75,0.0,0.0,433.1,7815.95,0
0,0,11.0,0,0,1,1,0,1,1,0,0,0,1,1,1,40.4,0.0,0.0,0.0,422.6,0
0,2,61.0,1,1,1,2,0,0,0,1,1,1,1,0,0,99.15,0.0,0.0,3009.13,9019.18,1
0,1,71.0,1,0,1,0,1,1,1,1,1,1,1,1,0,84.8,0.0,0.0,1637.26,7683.36,0
1,1,8.421412222805252,1,0,0,0,0,0,0,0,0,0,1,0,1,19.85,0.0,0.0,366.66,545.46,0
0,2,6.0,1,0,1,1,1,0,0,0,0,0,1,0,0,49.45,0.0,0.0,234.96,549.56,0
0,1,26.0,1,0,1,2,0,0,0,1,1,1,0,0,0,88.8,0.0,50.0,990.34,3314.69,1
0,0,6.0,1,0,1,0,1,0,0,0,0,0,0,0,2,55.15,0.0,0.0,41.88,364.78,0
1,1,11.0,1,0,1,2,0,1,0,0,1,1,1,0,0,84.8,0.0,0.0,336.27,1225.02,0
1,0,1.0,1,0,1,2,0,0,0,1,0,1,0,0,0,80.55,0.0,0.0,43.67,124.22,1
0,1,49.0,1,0,0,1,0,0,0,0,0,0,1,2,0,20.15,0.0,0.0,138.18,1111.53,0
0,1,53.0,1,0,1,2,1,1,1,0,1,1,1,2,1,99.5,0.0,0.0,2309.21,7733.46,0
1,0,23.0,1,0,1,2,1,0,1,1,1,1,1,0,0,99.85,0.0,0.0,872.85,3204.15,1
1,2,2.0,1,0,1,1,0,0,0,0,0,0,1,0,0,45.35,0.0,0.0,50.98,140.48,1
1,1,1.0,1,0,1,1,1,0,0,0,0,0,1,0,1,48.55,0.0,0.0,11.35,59.9,1
0,2,68.0,1,1,1,0,0,0,0,1,1,1,1,0,0,100.2,0.0,0.0,1450.44,8302.09,1
1,1,8.0,1,0,1,2,0,1,0,1,1,1,0,0,0,94.7,0.0,80.0,155.92,976.22,1
0,0,70.0,1,1,1,2,0,1,0,1,1,1,0,1,0,97.65,0.0,80.0,1166.2,8228.7,0
1,2,39.0,1,1,1,2,0,1,0,1,1,1,1,1,0,100.0,0.0,0.0,674.31,4509.86,0
0,1,1.0,1,0,1,2,0,0,0,0,0,0,1,0,0,70.1,0.0,0.0,17.37,87.47,1
0,1,3.0,1,0,1,2,0,0,1,1,1,1,1,0,0,97.9,0.0,0.0,90.54,405.84,1
1,1,60.0,1,1,1,2,0,1,0,1,1,1,1,1,0,102.5,0.0,0.0,1153.2,7310.8,0
0,1,5.0,1,0,1,2,0,0,0,0,0,0,1,0,0,69.95,0.0,0.0,85.4,415.55,1
1,2,3.0,1,1,1,2,0,0,0,0,0,0,1,0,0,81.35,0.0,0.0,27.66,261.36,1
0,1,55.0,1,1,1,0,1,0,1,0,0,0,0,1,1,66.05,44.53,150.0,1945.9,5513.47,0
1,1,72.0,0,0,1,1,1,1,1,1,1,1,1,2,1,61.2,0.0,0.0,0.0,4390.25,0
1,2,72.0,1,0,1,1,1,1,1,1,0,0,0,2,0,74.4,0.0,140.0,379.44,5880.19,0
0,2,41.0,1,1,1,2,0,1,0,1,1,1,0,0,0,106.3,0.0,130.0,427.63,5001.08,1
1,1,60.0,0,0,1,1,1,1,0,0,0,0,1,2,0,39.6,38.46,0.0,0.0,2386.04,0
0,1,6.0,1,0,1,2,0,0,0,1,1,1,1,0,0,89.3,0.0,0.0,15.6,593.2,1
0,0,46.0,1,1,1,2,0,1,1,1,1,1,1,2,1,108.9,0.0,0.0,92.0,4946.3,0
0,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0,2,19.9,0.0,0.0,41.1,361.55,0
0,1,58.0,1,1,1,2,0,1,1,1,1,1,0,0,1,102.1,0.0,100.0,203.58,6188.98,1
1,1,23.0,1,0,0,0,0,0,0,0,0,0,1,2,1,19.6,0.0,0.0,782.92,1209.57,0
0,2,31.0,1,0,1,2,0,1,1,1,1,0,1,0,0,98.9,0.0,0.0,1486.45,4397.75,1
1,1,11.0,1,0,1,0,0,0,0,0,0,0,1,0,0,45.9,0.0,0.0,142.45,664.35,0
0,2,56.0,1,1,1,2,0,1,1,1,0,0,1,2,0,99.9,0.0,0.0,970.48,6676.78,0
0,1,25.0,1,0,0,1,0,0,0,0,0,0,1,0,1,20.05,0.0,0.0,321.75,793.45,0
0,1,68.0,0,0,1,1,1,1,1,1,1,1,0,2,1,-8.0,0.0,130.0,0.0,4669.6,0
0,1,40.0,1,0,0,0,0,0,0,0,0,0,1,2,1,19.65,0.0,0.0,1041.2,1871.45,0
1,1,36.0,1,1,1,2,0,0,0,0,1,1,1,0,0,84.9,0.0,0.0,887.76,3954.96,1
1,0,32.0,1,1,1,2,1,0,1,1,1,1,1,0,1,108.15,0.0,0.0,886.08,4318.98,1
1,0,71.0,1,1,1,1,1,1,1,1,1,1,1,2,0,86.85,0.0,0.0,717.81,6981.61,0
1,1,17.0,1,1,1,2,0,1,0,1,1,1,1,0,0,102.55,0.0,0.0,171.87,1914.37,0
1,1,18.0,1,0,1,2,0,1,1,0,0,0,1,0,0,78.2,0.0,0.0,572.22,2040.97,0
0,1,37.0,1,1,1,2,1,1,0,0,0,0,0,0,0,91.2,0.0,0.0,434.01,3816.31,0
0,1,28.0,1,0,1,2,0,0,0,0,0,0,1,1,0,70.4,0.0,0.0,362.32,2354.52,0
1,1,11.083003634698528,0,0,1,0,1,1,0,0,0,0,1,1,1,39.55,0.0,0.0,0.0,373.0,0
1,1,65.0,1,0,0,0,0,0,0,0,0,0,0,2,1,20.4,0.0,0.0,1524.9,2939.35,0
0,1,1.0,0,0,1,1,0,0,0,1,0,0,1,0,0,34.7,0.0,0.0,0.0,34.7,1
1,0,36.0,1,0,1,2,1,0,0,1,1,1,1,0,0,93.6,16.56,0.0,1487.88,4837.37,0
1,0,23.0,1,1,1,0,0,0,1,1,0,1,1,0,0,90.6,4.73,0.0,889.87,2828.34,1
1,0,22.0,1,0,1,1,1,0,1,0,0,1,1,0,1,57.95,0.0,0.0,936.76,2208.56,0
0,1,72.0,1,1,1,2,1,1,1,1,1,1,1,2,1,112.1,18.88,0.0,328.32,8275.39,0
0,1,17.0,1,1,1,2,0,1,0,1,0,0,1,0,0,88.25,0.0,0.0,304.47,1765.12,1
0,0,3.0,1,0,1,2,0,0,1,0,1,1,1,0,0,85.8,0.0,0.0,31.8,304.0,1
1,1,58.0,1,0,1,0,1,1,0,0,0,0,1,1,1,60.3,0.0,0.0,998.76,4562.56,1
1,1,67.0,1,0,1,1,1,1,0,1,1,1,1,2,1,81.35,0.0,0.0,3031.75,8430.35,0
