Gender,Age,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
Female,37,55,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,89.8,0.0,0,279.4,5239.0,Stayed,mising,mising
Female,60,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,94.75,0.0,0,967.01,6564.66,Stayed,mising,mising
Female,48,12,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,20.3,0.0,0,231.36,455.86,Stayed,mising,mising
Male,60,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.75,0.0,0,682.02,2611.02,Stayed,mising,mising
Male,69,2,mising,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,49.25,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer
Female,20,27,Offer C,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,78.2,0.0,0,1320.57,3399.52,Stayed,mising,mising
Male,31,25,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,25.5,44.42,0,592.25,1178.43,Stayed,mising,mising
Male,46,25,mising,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,Yes,One Year,Bank Withdrawal,61.6,44.9,0,161.25,1727.35,Stayed,mising,mising
Male,57,29,mising,No,mising,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Credit Card,45.0,12.26,0,0.0,1230.19,Stayed,mising,mising
Male,19,72,mising,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,85.15,0.0,0,2329.92,8646.12,Stayed,mising,mising
Female,64,14,mising,Yes,No,Yes,Cable,No,No,No,No,No,No,Yes,One Year,Credit Card,51.45,0.0,0,336.56,1064.41,Stayed,mising,mising
Female,38,35,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,99.25,0.0,0,1274.7,4806.7,Stayed,mising,mising
Male,50,29,mising,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,94.2,0.0,20,59.45,2687.05,Stayed,mising,mising
Male,25,64,mising,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,One Year,Bank Withdrawal,81.25,0.0,40,351.36,5958.91,Stayed,mising,mising
Female,35,39,mising,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,99.95,0.0,0,950.82,4718.22,Stayed,mising,mising
Female,72,40,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Two Year,Bank Withdrawal,91.55,0.0,0,1765.6,5439.2,Stayed,mising,mising
Male,51,40,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,104.5,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices
Female,78,11,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,95.0,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
Female,30,6,Offer E,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,50.35,0.0,0,255.96,570.51,Stayed,mising,mising
Male,58,30,mising,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Mailed Check,64.5,0.0,0,79.2,1967.65,Stayed,mising,mising
Male,26,27,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.4,0.0,0,557.82,1087.62,Stayed,mising,mising
Male,66,70,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,One Year,Bank Withdrawal,104.8,6.11,0,2764.3,10067.14,Stayed,mising,mising
Female,20,57,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,109.4,0.0,0,456.57,6709.27,Stayed,mising,mising
Male,61,58,mising,Yes,No,Yes,DSL,No,Yes,No,No,No,No,Yes,One Year,Credit Card,50.3,10.23,0,1065.46,3933.78,Stayed,mising,mising
Male,24,16,mising,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,71.4,0.0,0,411.36,1623.46,Stayed,mising,mising
Female,55,69,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,116.0,0.0,0,2657.88,10840.73,Stayed,mising,mising
Male,32,1,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person
Male,59,1,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices
Male,71,32,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,One Year,Mailed Check,93.95,0.0,0,1019.52,3880.97,Stayed,mising,mising
Male,49,16,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,90.8,0.0,0,779.36,2221.56,Stayed,mising,mising
Male,61,49,Offer B,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,84.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds
Female,40,71,Offer A,No,mising,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,58.25,0.0,0,0.0,4145.9,Stayed,mising,mising
Female,39,33,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,107.55,0.0,0,1639.77,5285.27,Stayed,mising,mising
Female,21,10,Offer D,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.95,0.0,0,496.0,683.75,Stayed,mising,mising
Male,24,21,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,111.2,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider
Male,52,37,mising,No,mising,Yes,DSL,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,40.2,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data
Female,71,26,mising,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,85.8,0.0,0,877.24,3070.89,Stayed,mising,mising
Male,45,50,Offer B,No,mising,Yes,DSL,Yes,No,Yes,No,No,No,Yes,One Year,Credit Card,35.4,0.0,0,0.0,1748.9,Stayed,mising,mising
Female,29,7,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,73.85,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer
Female,62,61,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Mailed Check,88.1,0.0,0,2878.59,8405.34,Stayed,mising,mising
Male,42,15,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.35,0.0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider
Female,51,26,mising,No,mising,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,45.8,0.0,0,0.0,1147.0,Stayed,mising,mising
Male,39,72,mising,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.65,0.0,0,2391.84,9139.19,Stayed,mising,mising
Male,64,44,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.5,0.0,0,1205.6,2070.65,Stayed,mising,mising
Male,55,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Credit Card,89.4,36.02,40,3219.48,9200.36,Stayed,mising,mising
Female,40,2,mising,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,86.25,0.0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds
Female,76,44,mising,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,74.85,17.91,0,339.68,3589.82,Stayed,mising,mising
Female,57,12,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,89.75,0.0,0,172.56,1224.96,Churned,Attitude,Attitude of support person
Male,71,69,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Bank Withdrawal,109.95,0.0,0,1270.29,8904.54,Stayed,mising,mising
Female,25,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,80.2,0.0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed
Female,24,3,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,19.85,0.0,0,77.25,141.0,Churned,Price,Long distance charges
Female,77,27,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Two Year,Bank Withdrawal,86.45,0.0,0,80.19,2481.24,Stayed,mising,mising
Male,57,26,Offer C,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,20.3,0.0,0,346.84,858.09,Stayed,mising,mising
Female,73,39,mising,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.25,0.0,0,785.85,4735.0,Stayed,mising,mising
Male,41,25,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.7,0.0,0,872.0,3234.1,Churned,Competitor,Competitor had better devices
Female,43,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,70.9,0.0,0,39.81,110.71,Churned,Competitor,Competitor had better devices
Male,48,22,Offer D,Yes,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,54.2,0.0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider
Female,56,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,114.9,0.0,0,3482.64,11979.34,Stayed,mising,mising
Female,51,24,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,19.55,0.0,0,255.36,725.56,Stayed,mising,mising
Female,34,19,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,86.85,0.0,0,148.96,1713.36,Stayed,mising,mising
Male,21,71,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,25.35,0.0,0,653.2,2500.75,Stayed,mising,mising
Male,78,33,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Bank Withdrawal,109.9,0.0,0,829.95,4524.65,Stayed,mising,mising
Male,54,47,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,87.2,0.0,0,51.23,4068.68,Stayed,mising,mising
Male,42,62,mising,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,108.15,0.0,0,109.12,6934.77,Stayed,mising,mising
Male,22,71,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,116.3,0.0,0,204.48,8514.03,Stayed,mising,mising
Male,71,7,mising,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,89.0,0.0,0,293.79,899.24,Stayed,mising,mising
Female,56,27,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Month-to-Month,Credit Card,74.4,0.0,0,1259.82,3232.17,Stayed,mising,mising
Female,32,25,Offer C,No,mising,Yes,Cable,Yes,No,Yes,No,No,No,Yes,Two Year,Bank Withdrawal,35.05,0.0,0,0.0,844.45,Stayed,mising,mising
Male,80,30,mising,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,One Year,Bank Withdrawal,74.75,0.0,0,1158.3,3269.6,Stayed,mising,mising
Female,73,58,mising,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,105.5,0.0,0,982.52,7188.02,Churned,Attitude,Attitude of support person
Male,26,10,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,85.25,0.0,100,20.2,975.5,Churned,Competitor,Competitor offered more data
Female,59,9,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Credit Card,75.2,0.0,0,83.43,717.28,Stayed,mising,mising
Female,78,6,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,84.35,0.0,0,172.26,647.16,Churned,Other,Deceased
Female,47,69,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,One Year,Bank Withdrawal,84.45,0.0,40,2685.48,8574.08,Stayed,mising,mising
Female,68,66,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,102.4,0.0,0,689.7,7161.55,Stayed,mising,mising
Female,30,70,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,115.55,0.0,0,714.7,8842.3,Churned,Dissatisfaction,Network reliability
Male,62,25,Offer C,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,25.3,0.0,0,139.25,815.6,Churned,Price,Long distance charges
Female,52,46,Offer B,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,19.25,0.0,0,1119.18,1983.38,Stayed,mising,mising
Female,63,54,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,114.65,0.0,0,615.6,6665.1,Stayed,mising,mising
Female,54,15,mising,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,105.1,0.0,0,335.85,1918.6,Churned,Competitor,Competitor made better offer
Female,48,12,Offer D,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Bank Withdrawal,19.4,0.0,0,99.0,297.1,Stayed,mising,mising
Female,51,22,mising,No,mising,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,50.35,0.0,0,0.0,1098.85,Stayed,mising,mising
Female,22,70,mising,No,mising,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,57.8,1.01,0,0.0,4038.29,Stayed,mising,mising
Male,52,30,Offer C,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Credit Card,84.3,0.0,130,741.9,3310.5,Stayed,mising,mising
Male,22,71,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,100.55,16.99,0,2012.14,9108.9,Stayed,mising,mising
Male,33,30,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Credit Card,19.8,0.0,0,294.3,870.95,Stayed,mising,mising
Male,26,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,84.8,0.0,0,115.08,486.98,Churned,Competitor,Competitor made better offer
Male,58,2,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.85,0.0,0,28.28,195.58,Churned,Competitor,Competitor made better offer
Male,22,10,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,19.95,0.0,0,78.6,298.1,Stayed,mising,mising
Male,66,4,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,One Year,Bank Withdrawal,75.35,0.0,0,145.6,419.0,Stayed,mising,mising
Male,69,52,Offer B,No,mising,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Credit Card,48.8,0.0,0,0.0,2555.05,Stayed,mising,mising
Male,25,5,mising,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,47.15,0.0,0,110.05,333.2,Churned,Competitor,Competitor made better offer
Male,30,8,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.15,0.0,0,22.96,188.46,Stayed,mising,mising
Male,40,19,Offer D,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,59.55,0.0,0,225.15,1369.75,Stayed,mising,mising
Male,53,72,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Two Year,Bank Withdrawal,69.65,0.0,0,263.52,5171.77,Stayed,mising,mising
Male,76,63,Offer B,No,mising,Yes,DSL,Yes,No,Yes,No,No,No,Yes,One Year,Bank Withdrawal,36.1,0.0,0,0.0,2298.9,Stayed,mising,mising
Male,38,66,mising,No,mising,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Bank Withdrawal,56.6,0.0,0,0.0,3789.2,Stayed,mising,mising
Male,23,1,mising,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.9,0.0,0,44.56,120.46,Churned,Competitor,Competitor made better offer
Female,24,60,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,One Year,Bank Withdrawal,79.2,0.0,0,917.4,5682.4,Stayed,mising,mising
Female,43,48,mising,No,mising,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Credit Card,45.0,0.0,0,0.0,2196.3,Stayed,mising,mising
Female,45,1,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Credit Card,85.55,0.0,0,33.34,118.89,Churned,Other,Moved
Male,49,15,mising,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,93.35,0.0,0,733.95,2178.6,Churned,Competitor,Competitor had better devices
Female,62,50,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,109.65,0.0,0,1728.5,7134.3,Stayed,mising,mising
Male,25,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,89.7,0.0,0,2430.0,8769.3,Stayed,mising,mising
Female,37,46,mising,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,Credit Card,84.25,0.0,100,1990.42,5938.02,Stayed,mising,mising
Female,35,72,mising,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,92.65,0.0,0,2160.0,8893.0,Stayed,mising,mising
Female,69,67,Offer A,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Two Year,Bank Withdrawal,92.45,0.0,0,172.19,6313.04,Stayed,mising,mising
Female,44,48,mising,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,79.65,0.0,0,429.12,4299.42,Stayed,mising,mising
